model,sampler,thr_val_best_f1,val_best_f1,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc
DecisionTree,SMOTE+ENN,0.4647519702226408,0.42118260392325785,0.77560706401766,0.32680452093501156,0.5758741654407604,0.41697734442213935,0.7474674534602593,0.30353154744058375
DecisionTree,None,0.622250557857826,0.37269895213773546,0.7668401135288553,0.2961770348040559,0.4891931651012787,0.36896684163359367,0.6999895331184751,0.2869750748773564
DecisionTree,SMOTE+Tomek,0.14285714285714285,0.3667537898584598,0.6856827499211605,0.25597044464968993,0.658594545660292,0.3686577563818332,0.7001823391837624,0.2734137737160435
DecisionTree,SMOTE,0.2,0.3658079625288459,0.7190791548407443,0.2680204619438847,0.586963901776621,0.3680028378857751,0.6984898989451789,0.2720291230449054
DecisionTree,ADASYN,0.139174975399603,0.3657118697808036,0.6823872595395775,0.25169111833435825,0.6484100939232771,0.3626238015378287,0.6928167888290389,0.2660632910892399
KNN,SMOTE+ENN,0.8392535522881489,0.438360091742648,0.7927309996846421,0.3489692890197728,0.5632001810569198,0.43092774578986104,0.7765484161291676,0.33183300198889304
KNN,None,0.25008078967391945,0.43602865916022127,0.794071270892463,0.3472252369582519,0.5430575987326015,0.42360314237796803,0.758191716570042,0.3186301045329798
KNN,SMOTE+Tomek,0.6189446354265435,0.4234965034960369,0.7818669189530116,0.3326411681961283,0.5619554147335069,0.41790793570647145,0.7553732940931388,0.3125862413959748
KNN,SMOTE,0.6189652303861976,0.4238915560571424,0.7839640491958373,0.33424209378407854,0.5549394590924522,0.4172019226679144,0.7535583069414137,0.311813382584944
KNN,ADASYN,0.6450109740967331,0.42142058165501445,0.7796121097445601,0.3279785809906292,0.5544868167930294,0.4121630146780502,0.748834745964979,0.30137322436979636
LightGBM,SMOTE+ENN,0.8197026537089908,0.4668854415269682,0.8120939766635131,0.3837384870904424,0.5751952019916261,0.4603541185527329,0.8188696221565648,0.4129509847791626
LightGBM,None,0.6357828582320015,0.46811532452729643,0.8007253232418795,0.3688858226974819,0.6050695937535363,0.4583404765986628,0.8193146144088812,0.4113509768114796
LightGBM,SMOTE,0.6757815798137514,0.4627552487772101,0.8016713970356354,0.3692598028936884,0.5978273169627701,0.4565330107155202,0.8167568035367416,0.4066207629000849
LightGBM,SMOTE+Tomek,0.6603849347892432,0.460632616732387,0.7913907284768212,0.3574904301563615,0.6235147674550187,0.45443298969072166,0.8163155077706017,0.4074507422707959
LightGBM,ADASYN,0.6808956893771664,0.4607814761210901,0.8023809523809524,0.3692514504032829,0.5905850401720041,0.45439902485742895,0.8157053968186099,0.40437804928752175
LogisticRegression,SMOTE+ENN,0.7274274230003357,0.4667384863986791,0.7877325764742983,0.353833512420201,0.6334728980423221,0.45405142347311217,0.817170653463147,0.3907973654599167
LogisticRegression,None,0.623717725276947,0.46406513194787635,0.7969883317565437,0.36297000135740465,0.605182754328392,0.45377794747783295,0.8173880454115339,0.39112561888502084
LogisticRegression,SMOTE+Tomek,0.6371901035308838,0.4632363480001021,0.8006780195521918,0.36695579182988247,0.5936403756931086,0.45355120390783726,0.8168877250746223,0.38930264550953064
LogisticRegression,SMOTE,0.6333550810813904,0.4632300442662723,0.8,0.3661354304405317,0.5953377843159443,0.45341721968456433,0.8169133195614933,0.38933390972392135
LogisticRegression,ADASYN,0.6371135711669922,0.4620592383634246,0.7969252601702933,0.3626664854580049,0.6039379880049791,0.4531906763469622,0.8166110867248295,0.387900363212208
RandomForest,SMOTE+ENN,0.663661262252615,0.46457938013866557,0.8180857773573005,0.3891625615763547,0.5363811248161141,0.45106342484655276,0.8163910535406667,0.4025220919846025
RandomForest,None,0.5396691980587492,0.45703466355909483,0.8020971302428256,0.36714837601945916,0.5807400701595564,0.4498794652640806,0.8121205868176574,0.40174694001371186
RandomForest,SMOTE+Tomek,0.39284184280401235,0.4529616724734017,0.7894985808893094,0.35047379232655224,0.5985062804119045,0.44207622868605817,0.8080676747879394,0.38529258573203873
RandomForest,SMOTE,0.3961236328885653,0.4515580736539219,0.7926363923052665,0.3528448628735162,0.5852664931537852,0.4402638859331773,0.8078433490773445,0.38503702438088955
RandomForest,ADASYN,0.36482012661850044,0.44617178390938195,0.7718070009460738,0.3329380373554699,0.6353966278148693,0.43693097813399734,0.8051187941296674,0.3782749296536676
XGBoost,SMOTE+ENN,0.8250691294670105,0.4696261682238245,0.808561967833491,0.3795918367346939,0.5893402738485911,0.46176353238462564,0.8201430378027327,0.4144928985847751
XGBoost,None,0.6613884568214417,0.4686739659362585,0.8130085146641438,0.38337449830194503,0.5620685753083625,0.4558344422520993,0.818797592505712,0.4113288569487969
XGBoost,SMOTE,0.6823421716690063,0.4620888950043529,0.7930148218227688,0.35947327044025157,0.620912074233337,0.45533380357661507,0.8162167838090323,0.40675793334769283
XGBoost,SMOTE+Tomek,0.707539975643158,0.4581510644498028,0.8038158309681489,0.37063087633675446,0.5843612085549394,0.4535792709705753,0.8159311447330843,0.40631510730504594
XGBoost,ADASYN,0.7073883414268494,0.4594042056070021,0.8042730999684642,0.3708652318359093,0.5810795518841235,0.4527619803376978,0.8154585407863537,0.4059375739863259
